score,content,cleaned_text,predicted_label
3,"aplikasinya sebenarnya bagus,tapi yang bikin kecewa tuh sebelum berlangganan di spam wa dari beberapa nomer sampai di telfon juga,ganggu banget. tapi setelah berlangganan,nanya karna ada yang belum di mengerti di cuekin gak di bales-bales tuh wa.",aplikasi bagustapi cewa langgan spam nomer telfon juganggu banget berlanggannanya karna erti cuek bales,negatif
3,"Halo tim Ruangguru, saya mengalami kendala saat mengerjakan drill soal. Layarnya sering stuck dan setiap kali digulir malah otomatis refresh. Hal ini membuat kenyamanan dan fokus saya berkurang. Mohon segera dibantu agar pengalaman belajar lebih lancar.",halo alami ndala drill layar stuck kali gulir otomatis refresh nyaman fokus kurang mohon bantu alam ajar lancar,negatif
4,sangat bagus dan mudah di pahami cuma bisa lelet padahal wifi/datanya nyala,bagus mudah paham wifidatanya nyala,netral
1,ruangguru ini kenapa lagi aku dah ada akun kok tiba tiba disuruh masuk ulang. gimana ini woi ruangguru udah banyak pula bug nya,akun suruh masuk ulang gimana sudah,negatif
1,"kok semua bayar, semua bayar. hanya sedikit yang geratis. apa-apa bayar apa-apa bayar. masak semua bayar, inimah seru sih seru tapi bayar, yang tadinya seru jadi gak seru",bayar gerat bayar bayar masak bayar inimah seru bayar seru,negatif
5,apk nya bagus cuman ada beberapa yang harus bayar kata nya gratis ko bayar cuax,aplikasi bagus cuman bayar gratis bayar cuax,netral
5,bagus buat pembelajaran tapi sayang harus bayar jadi susah untuk orang yang pengen belajar tapi dia tidak mampu,bagus ajar sayang bayar susah orang ajar,positif
4,"hallo kak! sebelumnya, terimakasih karena aplikasi ini sangat membantu saya dalam belajar. Penjelasannya juga mudah dimengerti. hanya saja, sedikit tidak memuaskan karena saat menjawab soal di bank soal dan drill, harusnya jawabannya benar malah disalahkan. beberapa kali juga ada yang jawabannya tiba tiba melenceng dari jawaban saya. Skornya jadi tidak penuh dan sedikit membuat tidak bersemangat. Tolong segera di perbaiki, terimakasih 🙏🏻",hallo terima kasih aplikasi bantu ajar jelas mudah erti muas bank drill jawab salah kali jawab lenceng skor penuh mangat tolong baik terima kasih,netral
1,"pas masuk ke aplikasi nya malah error dan langsung keluar, padahal sebelum-sebelum aku menghapus aplikasi rg belum ada terjadi, dan waktu aku unduh lagi, baru masuk eh langsung error dan langsung keluar sekaligus sebelumnya aku hapus aplikasi karena aku sangat tidak nyaman ketika di telpon oleh rg dengan waktu cukup lama karena aku sibuk, juga seringnya spam cht juga kadang spam telpon sampai aku angkat, semoga ulasan aku berikan dapat membantu dan bisa diubah aplikasi nya",masuk aplikasi error langsung belum hapus aplikasi unduh masuk langsung error langsung hapus aplikasi nyaman telpon sibuk spam kadang spam telpon angkat moga ulas bantu ubah aplikasi,negatif
5,"aplikasi ini berguna banget buat kita anak sekolah, tapi minusnya video nya agak buram mungkin karna video lama ya ?, tolong di hd kan dong min videonya soalnya kalau tulisan' kecil gitu jadi ga kelihatan",aplikasi guna banget anak kolah minus video buram karna video tolong video tulis gitu tidak,negatif
4,"hmmmm lagi asik2 nya belajar, pas mau next video berikutnya malah nggak bisa.. keluar2 terus. aku udh coba refresh device ku tetep nggak bisa. dulu2 bisa lanjut ke video berikutnya, walaupun ntah kenapa progress nya nggak kerekam, dan nggak masalah 😚 tapi sekarang malah tidak bisa masuk sama sekali... kenapa ya kira2?",asik ajar next video tidak sudah coba refresh device tidak video ntah progress tidak rekam tidak masuk,negatif
3,"Jujur aku agak kecewa sama aplikasi ini, iya sih aplikasi ruang guru itu work it buat belajar,materinya juga bagus dan gk bosenin iah,cuman kekurangan nya ya harus bayar langganan gitu kan jadi mikir dua kali gitu yg gk punya budget buat langganan😐, mungkin gua hapus aplikasi ini sementara waktu aja dah itu aja😁🙏",cewa aplikasi work belajarmaterinya bagus tidak bosen iahcuman kurang bayar langgan gitu mikir kali gitu tidak budget langgan hapus aplikasi saja,negatif
5,"Enatah knp aku ngeharep besar setelah ni apl geratis, yah.. u know la. n I hope ni apl bikin kayak kurikulum sendiri yg gabungin kurikulum negara² lain jadi satu? dan buat ni apl jadi apl yg wajib ad di hp anak² n FREE buat semua org, yahh mirip² duolingo gitu but versi Runaggurunya. Itu ngebantu bgt buat anak² yg ga di suport lebih sama lingkunganya. Tau kan banyak anak yg pengen bgt keluar dari lingkaran kemi*kinan/danger zone-nya mereka sampai² kerisis edentitas sendiri😹. tuh uda 5 stars😸",enatah ngeharep gerat know hope kayak kurikulum gabung kurikulum negara wajib anak free duolingo gitu versi runaggurunya ngebantu banget anak tidak suport lingkunganya anak banget lingkar mikinandanger zone edentitas stars,positif
5,"keren banyak fitur yg visa kita gunakan terus dapet pelajaran tambahan, tapi sayang kita harus downlot satu satu. tapi aku tetap suka apa lagi di app memory.",fitur visa dapet ajar tambah sayang downlot suka mory,netral
5,"semenjak saya langganan di ruang guru saya lebih suka meluangkan waktu saya untuk belajar karena belajar di ruang guru sangat seru dan mudah dipahami, disajikan konsep kilat, rangkuman materi, bank soal dll... saya sangat berterima kasih kepada ruang guru sekarang saya lebih semangat untuk belajar 🥺😊😊😊",menjak langgan suka luang ajar seru mudah paham saji konsep kilat rangkum materi bank terima kasih mangat ajar,positif
5,"lucu sih klo ada yg bilang ""kecewa karena ruangguru berbayar"".padahal bimble itu emang kerjaannya buat bantu org belajar,masa iya harus gratisan?,emang kamu pikir tim yang bikin vd belajar tiap hari itu mereka bikin karena hobi?ya enggak lah, lagian indonesia jadi salah satu negara dengan pendidikan lemah yaa karena mereka MALAS BELAJAR DAN MALAS USAHA,bimble di luar negri juga bayar kali.",lucu kalau bilang cewa berbayarpadahal bimble emang bantu belajarmasa gratisanemang pikir ajar hobiya indonesia salah negara lemah malas ajar malas usahabimble negri bayar kali,negatif
5,sangat membantu dalam metode pembelajaran anak dirumah.,bantu tode ajar anak rumah,positif
5,kenapa habis instal apk ruang guru tapi ga bisa di bukak katanya lagi mogok? itu gimana yaa...biar bisa di gunakan aplikasinya?,habis instal aplikasi tidak bukak mogok gimana yaabiar aplikasi,negatif
5,"apk sangat bermanfaat! sangat membantu dalam pembelajaran dan persiapan untuk kuliah, mudah di pahami dan dimengerti. terima kasih!!!!!",aplikasi manfaat bantu ajar siap kuliah mudah paham erti terima kasih,positif
5,Aku senang belajar di aplikasi ruangguru karena bilin aku pintar tambal ilmu dan aku yakin aku bisa jawab soal ujian di sekolah,nang ajar aplikasi pintar tambal ilmu kolah,positif
5,aku akan tetap kasih bintang 5 tapi tolong ya Ruangguru ga usah pake bayar soalnya pasti banyak yang gak dibolehin ortunya bayar sama kayak saya gak dibolehin pakai bayar. lagian juga Ruangguru itu niatnya mengajar atau mencari duit. Ruangguru itu niatnya ikhlas ngajarin gak sih.,kasih bintang tolong tidak pake bayar boleh ortunya bayar kayak boleh pakai bayar niat ajar cari duit niat ikhlas ngajar,negatif
5,bisa belajar lebihh luas dan bisa di pahami secara tepat,ajar lebihh luas paham,positif
5,sangat mudah memahami pelajaran yang di berikan,mudah paham ajar,positif
3,"apakah ada paket belajar yang lebih murah lagi, soal ny semua paket nya kemahalan",paket ajar murah paket mahal,positif
5,baguss banget banyak video pelajaran yang bisa di lihat dan di pelajari,bagus banget video ajar lihat ajar,positif
5,bagus tapi sayang tiket sesi tutornya pelit banget☺️💸,bagus sayang tiket sesi tutor pelit banget,netral
5,Bagus dan mantap aplikasi Ruangguru untuk belajar 👍,bagus mantap aplikasi ajar,positif
5,bagus tapi agak berbayar meski saya tidak punya duit karna masih anak sd dan tidak berani meminta kepada ortu saya jadi saya harus menabung denga uang jajan saya yang hanya 4rp sehari tapi untuk sisahnya aman aman ini juga cukup membantu terimakasih🤭,bagus bayar duit karna anak berani ortu tabung denga uang hari sisahnya aman bantu terima kasih,netral
5,aplikasi ini sangat bagus karena saya bisa masuk 10 besar di kelas saya,aplikasi bagus masuk,netral
2,sampai sekarang bug force closed gajelas ini belum di perbaiki,force closed gajelas baik,negatif
5,untuk saat inii apk ini sangat baguss dan membantu saya memahami pelajaran lebih detail. juga kuis2 yang ada bisa mempercepat pemahaman. terimakasih ruangguru,aplikasi bagus bantu paham ajar detail kuis cepat paham terima kasih,positif
1,Saya ga tau kualitas dan layanan aplikasi ini namun 1 hari setelah saya daftar akun dan liat² aplikasinya kenapa tiba-tiba ada panggilan padahal saya niat hanya ingin liat²,saya tidak kualitas layan aplikasi daftar akun liat aplikasi tiba panggil niat liat,negatif
5,"aku suka sama ruangguru karena membuat aku giat belajar dan membuat nilai ku naik,walaupun ada yang berbayar tapi banyak juga yang gratis,aku pilih gratis karena aku masih pelajar terimah kasih ruangguru ✌🏻",suka giat ajar nilai naikwalaupun bayar gratisaku pilih gratis ajar terimah kasih,positif
5,"Terima kasih ruang guru, aplikasi ini jadi teman belajarku dan menemani aku untuk dapat universitas impian akuu, materi blajar lengkap, ada grafik untuk menganalisis serta evaluasi pembelajaran, tampilannya tidak monoton, sangat menarikkkk, sukaaa bangett, apalagi ada fitur hewan peliharaan, ada exp dan gold, jdi kaya game deh, makin semangat mau naik level, dan cara menyelesaikan supaya dapet nilai harus sering sering belajar, seruuu bangett 😁😁",terima kasih aplikasi teman ajar tani universitas impi akuu materi blajar lengkap grafik analis evaluasi ajar tampil monoton tarik suka banget fitur hewan pelihara gold kaya game mangat level lesa dapet nilai ajar seru banget,positif
5,sangat cocok untuk pelajaran bahasa Inggris,ajar bahasa inggris,positif
5,"aplikasi membantu banget buat belajar, pembahasannya detail, ada kuis nya juga, pokoknya seru poll dehh.",aplikasi bantu banget ajar bahas detail kuis seru poll dehh,positif
5,"baguss, suka bangett videonya menarik sama bikin cepet faham, semoga dengan belajar di ruang guru bisa menambah ilmu sama lebih pinter lagiii",bagus suka banget video tarik cepet faham moga ajar tambah ilmu pinter lagi,positif
5,"aplikasi ruang guru ini sangat bagus apalagi yg untuk anak sekolah dan juga guru, aplikasi ini sangat membantu sekali",aplikasi bagus anak kolah aplikasi bantu,positif
5,Aplikasinya sangat membantu sekali dalam menyerap dan memahami materi Penjelasannya mudah dimengerti.,aplikasi bantu serap paham materi jelas mudah erti,positif
1,"sering sekali tidak bisa masuk ke aplikasi nya ,padahal udah berlangganan dan bayar cukup mahal",masuk aplikasi sudah langgan bayar mahal,negatif
5,bagus dan jawabannya akurat anda bisa temukan jawaban yang benar disini,bagus jawab akurat temu,positif
5,bagus sekali pembelajaran makin seru recommended buat kalian² belajar disini man apk nya gratis yuk buruan download,bagus ajar seru recommended ajar aplikasi gratis buru download,positif
4,aplikasi yang cocok untuk saya sebagai pelajaran dan sangat bagus,aplikasi ajar bagus,positif
5,"bagus sekali, anaku suka bgt, cuma belum bisa berlangganan.. harus nabung dulu.. tapi.. sangat bagus sekali dan saya suka sekali dengan ruang guru... goodjob ..",bagus suka banget langgan nabung bagus suka goodjob,positif
5,"Thank you very much for Ruangguru, kalian keren pokok 😭🙏🏼 dulu waktu sekolah saya belum ada Ruangguru, meskipun saya sudah lulus tetapi tidak ada salah nya belajar kan, Tidak ada kata terlambat dalam belajar, Belajar itu penting kapanpun itu. Which is dengan kalian belajar dapat menambah wawasan kalian. Wawasan yang didapatkan bisa buat upgrade diri kalian. Buat kalian anak sekolah semangat belajar yaa 😼💪Menurut saya, kalian semua wajib punya Ruangguru di HP kalian 😠🤓👍",thank very much kolah salah ajar tidak lambat ajar which ajar tambah dapat upgrade buat anak kolah mangat ajar turut wajib,positif
5,"langganan nya murah bgt dan video pembelajaran nya juga mudah dipahami ,saran dongg ada in fitur kaya sehari wajib ngerjain beberapa soal gtu trus ada rank nya kaya GO biar makin semangatt belajarnyaa",langgan murah banget video ajar mudah paham saran dongg fitur kaya hari wajib ngerja trus rank kaya biar mangatt belajarnyaa,positif
5,bagus banget bisa buat anak SD jadi saya semakin pintar,bagus banget anak pintar,positif
5,aku suka banget sama ruang guru dan aku bisa belajarnya terasa nyaman sekalian satu lagi gk ribet dan tidak panjang lebar,suka banget ajar nyaman tidak ribet lebar,positif
5,"ruangguru nya bagus banget dan bisa hafalan juz ama juga 😘😘 soal nya aku bisa lihat di ruang guru, tpi aku melihat orang² semua memakai ruang guru dan ada juga piala nya juga dan aku akan dowload ruangguru, dan aku mencoba nya ternyata bagus juga dan ada mengaji aku suka ruang guru nya makasih ya ruang guru nya ☺",bagus banget hafal lihat orang pakai piala dowload coba bagus suka terima kasih,netral
5,bagus banget untuk anak saya anak saya sangat suka nonton clas of campuran sayangnya harga nya terlalu mahal tapi saya tetap dukung anak saya untuk tetap mengikuti ruang guru terima kasih ruang guru,bagus banget anak suka nonton clas campur sayang harga mahal dukung anak ikut terima kasih,positif
5,"pembelajarannya lumayan bagus dan cocok bagi semua kalangan pelajar serta maha siswa,tapi mohon jangan ada pengeluaran finansial yah!",ajar lumayan bagus kalang ajar maha siswatapi mohon luar finansial,positif
5,Saat ada ruangguru lebih Seru belajarnya dan lebih semangat untuk mencari ilmu🤩,saat seru ajar mangat cari ilmu,positif
3,kak kenapa kalau aku buka video di rubel macet-macet mulu padahal jaringan ku bagusss,buka video rubel macet mulu jaring bagus,negatif
1,"min kenapa ruangguru saya jadi gini, jadi di setiap saya masuk ruangguru selalu ngebug gabisa dan setelah itu saya selalu mendapatkan notifikasi "" terdeteksi aplikasi ruang guru mogok karena masalahnya sendiri. Harap tunggu pembaruan untuk memperbaiki masalah, atau kirimkan umpan balik melalui saluran layanan pelanggan dalam aplikasi "" ini gimanaa minn",masuk ngebug gabisa notifikasi deteksi aplikasi mogok harap tunggu baru baik kirim umpan salur layan langgan aplikasi gimanaa minn,negatif
5,"kelas offlinenya bagus,, master teacher mengajar dgn detail dan tdk bertele-tele. latihan soalnya jg lumayan, klo mau lebih fleksibel bs ambil kls online nya 👍🏻",offlinenya bagus master teacher ajar detail tidak tele latih juga lumayan kalau fleksibel ambil online,positif
5,bagus buat belajar tapi materinya cuma 2 yaitu matematika sama ipas,bagus ajar materi matematika ipas,positif
5,"aplikasi yang keren abiss, interaktif dan seru nggak boring, nyesel kenapa nggak dari dulu coba ni app, malah waktu hebohnya coc baru donwload wkwk, butt this app sangattt kerennnnnn makinn sukaa belajarr",aplikasi abiss interaktif seru tidak boring nyesel tidak coba heboh donwload butt this sangat makinn sukaa belajarr,positif
5,"videonya super kreatif, seru, dan mudah dipahami bangett! fiturnya lengkap parah, belajar jadi lebih gampang😃👏🏻",video super kreatif seru mudah paham banget fiturnya lengkap parah ajar gampang,positif
5,"Bagus banget, aplikasinya unik dan membantu. Ada videonya yang menarik dan mudah dipahami, ada juga pets nya yang imut imut!",bagus banget aplikasi unik bantu video tarik mudah paham pets imut,positif
5,"kenapa tidak bisa daftar ya, saat pendaftaran akun, saat tombol daftar di klik gak bisa, padahal semua sudah di isi dengan benar",daftar akun tombol daftar klik,negatif
5,"jujur saya belum coba aplikasi ny tapi juga jujur untuk biaya ny kira kira berapa ya soalnya butuh banget pelajaran tambahan buat nambah ilmu pengetahuan yang saya belum paham dan terlewat,jadi saya kasih bintang 5 se moga berkembang ya aplikasinya cuma itu aja semoga juga di jawab thank's you 🙏👋😊",coba aplikasi biaya butuh banget ajar tambah nambah ilmu tahu paham terlewatjadi kasih bintang moga mbang aplikasi saja moga thanks,positif
5,aplikasi ini bagus dan sangat membantu mapel yang belum kita fahami bisa kita putar ulang² sampai benar² menguasai materinya 😊,aplikasi bagus bantu mapel fahami putar ulang kuasa materi,positif
5,"jujur ajaa, gak bakalan beda seperti komentar yang lain, mau tentang video kek, rangkuman kek, cara mengajar kek dll semuanya real bagus bangettt.. tapi satu hal yang gua notice adalah ini bimbel sumpah pelayanan customer service via wa nya sangat gercep sekalii bahkan sebelum lu berlangganan sekalipun, tapi perlu di notice, ini adalah pengalaman gua pribadi, jadi semisal nanti kalain ada yang kurang serupa, mohon di maklum kan, setiap orang menilai dari apa yang mereka rasakan",ajaa beda komentar video rangkum ajar real bagus banget notice bimbel sumpah layan customer rvice gercep kali langgan notice alam pribadi kala mohon maklum orang nilai rasa,positif
5,menurut saya belajar di ruang guru sangat bagus karena semua kelas ada di aplikasi ruang guru ini dan mudah di pahami,ajar bagus aplikasi mudah paham,positif
5,"apk yang sangat bagus,banyak metode pembelajarannya dan sangat wajib bagi para pelajar seperti saya,agar bisa menjadi generasi emas indonesia‼️",aplikasi bagusbanyak tode ajar wajib ajar sayaagar generasi emas indonesia,positif
5,aplikasi ini sangat bagus sekali bisa belajar apapun yang kita mau contoh belajar bahasa Inggris yang sangat bikin kita mau belajar,aplikasi bagus ajar contoh ajar bahasa inggris ajar,positif
5,"aplikasi nya sangat bagus dan cocok untuk belajar, tapi ga ada Psikologi kah di aplikasi tersebut? sama ga ada mapel bahasa Arab?",aplikasi bagus ajar tidak psikologi aplikasi tidak mapel bahasa arab,netral
5,"pembelajaran bimbel offline nya sangat nyaman dan seru, terlebih penjelasan online nya juga mudah dingerti. sangat recommended, ayo berlangganan ruang guru!!",ajar bimbel offline nyaman seru jelas online mudah ngerti recommended langgan,positif
5,"sangat seru, videonya pembelajarannya interaktif. ada xp untuk menaikkan level dan gold untuk menghias Avatar, seperti di game",seru video ajar interaktif naik level gold hias avatar game,positif
5,"aplikasi ruang guru ini sangat membantu sekali terutama penjelasan nya yang mudah sekali untuk dipahami, belajar lebih menyenangkan",aplikasi bantu jelas mudah paham ajar nang,positif
5,"APLIKASI INI HARUS DI DOWNLOAD !!! SEKALI KALIAN DOWNLOAD INI BELAJAR² JADI PINTER !!! matematika,bahasa indonesia,ipas BANYAK PELAJARAN YANG BISA DIPELAJARI ❤️❤️ aku rating 5 bintang karna aplikasi ini sangat BERMANFAAT",aplikasi harus download kali kalian download ajar jadi pinter matematikabahasa indonesiaipas banyak ajar yang bisa ajar rating bintang karna aplikasi manfaat,positif
4,"bimbingan belajar nya enak, tapi banyak yang bayar",bimbing ajar enak bayar,positif
5,"sangat membantu dan penjelasan nya juga gampang bikin semua mata pelajaran jadi mudah, makasih ruang guru!",bantu jelas gampang mata ajar mudah terima kasih,positif
5,"apakah aplikasi ruangguru ini, orang tunanetra juga bisa. zaman sekarang orang gangguan penglihatan udah bisa memegang HP memakai fitur TalkBack bawaan dari HP. Saya mau tanya orang gangguan penglihatan juga bisa memakai aplikasi ruang guru inikah. takutnya aplikasi ini untuk tunanetra masih belum mendukung. hehehe?",aplikasi orang tunanetra zaman orang ganggu lihat sudah pegang pakai fitur talkback bawa saya orang ganggu lihat pakai aplikasi takut aplikasi tunanetra dukung hehe,negatif
4,"aku suka ruangguru, tapi pas belajar, tiba tiba soal yang tadi dikerjakan, muncul lagi, kan capek ya, tolong diperbaiki, kalo udah ku rate 5🙏😆",suka ajar muncul capek tolong baik kalo sudah rate,negatif
5,"Ruangguru membuat saya semakin pintar! Saya bisa belajar tentang pelajaran yang ada di ruangguru, dan ada Teman belajar juga! saya senang ada ruangguru, dan Juga bisa buat Avatar.",pintar saya ajar teman ajar nang juga avatar,positif
2,"gratis langganan ruangguru ga bisa dipakai, padahal sdh menyelesaikan misi",gratis langgan tidak pakai lesa misi,negatif
5,"Saya ingin bersungguh2 belajar dan mendapat nilai yang bagus agar diterima di kampus impian 🔥, ruang guru sangat membantu dengan vidio penjelasannya yang sangat mudah dipahami",saya sungguh ajar nilai bagus terima kampus impi bantu vidio jelas mudah paham,positif
5,sangat membantu jenis materi pada soal lengkap bangett sukaaa 🐣🫶 update terus pembelajaran nya 💗✨ banyak to banyak ilmu,bantu jenis materi lengkap banget suka update ajar ilmu,positif
5,"NYESEEEL BNGT KENAPA BARU DOWNLOAD SEKARAANGG. Harus nya mulai smp aku download Ruangguru, karena ternyata aljabar ngak sesuah itu kok (buat otak ku yang agak lemot). Thanks Ruangguru",nyesel bngt napa baru download karaangg harus download aljabar ngak suah otak thanks,negatif
5,"aplikasi ruangguru ini bagus buat belajar dan ada soal-soalnya juga. cocok buat SD, SMP, SMA dan Umum.",aplikasi bagus ajar soal,positif
5,sangatt senang menggunakan ruang guru ini,sangatt nang,negatif
4,"Yang pertama, ada materi-materi yang tidak ada dengan yang di sekolah. Misalnya disekolah, aku diajarkan materi arimatika sosial, saat ingin mempelajarinya lebih lanjut di Ruangguru, materinya malah tidak ada. Atau mungkin aku yang kurang teliti. Yang kedua, soal-soalnya kurang banyak toloongg. Aku butuh lebih banyak soal untuk evaluasi, dan meperdalam materinya. Sudah itu saja, lainnya sudah bagus kok. Fyi, aku berlangganan yang ruang belajar, ya. Terimakasih.",yang materi kolah misal seko ajar materi arimatika sosial ajar materi atau teliti yang soal toloongg butuh evaluasi dalam materi sudah bagus langgan ajar terima kasih,positif
1,"ruang cerita saya tidak bisa di akses, sudah restart, install ulang, tetap saja begitu, dan juga tolong untuk ruang guru app, disediakan untuk PC/laptop",cerita akses restart install ulang tolong sedia pclaptop,negatif
5,bagus dan bisa langsung paham,bagus langsung paham,positif
5,"baguss bgttt aplikasinyaa menjelaskan dividio yang singkat tapi mudah dimengertii,suka juga ke kartun daf dan Lulu nya",bagus banget aplikasinyaa vidio singkat mudah mengertiisuka kartun,positif
5,saya mencoba bimbel diaplikasi lain tapi ruang guru memiliki fasilitas yang lengkap...,coba bimbel aplikasi milik fasilitas lengkap,netral
5,"aplikasi ini sangat membantu saya dalam belajar, pokoknya keren banget dah, kalo mau belajar autodidak mending di sini aja!!",aplikasi bantu ajar banget kalo ajar autodidak nding saja,positif
5,"ga ada suara sama sekali disetiap video materinya, soalnya udah sempet coba hapus cache bahkan sampe hapus appnya terus instal lagi dan login pake akun berlangganan, tetap saja ga ada suaranya sama sekali di video materinya😭 plis, soalnya ini butuh banget buat ujian sekolah bulan depan/akhir bulan September ini....😭🥹🙏🙏",tidak suara tiap video materi sudah mpet coba hapus cache sampe hapus appnya instal pake akun langgan tidak suara video materi plis butuh banget kolah depanakhir ptember,negatif
2,Paket berbayarnya sangat mahal.,paket bayar mahal,negatif
5,sangat membantu saya dalam belajar. Aplikasi ini sangat penting bagi pelajar seperti saya,bantu ajar aplikasi ajar,positif
4,bagus membantu untuk memahami soal yang belum / kurang paham di sekolah dan vidio nya interaktif gak bikin bosen dan banyak program nya,bagus bantu paham kolah vidio interaktif bosen program,positif
5,saya bisa belajar dengan lebih baik karena ada ruang guru,ajar,positif
5,bagus banget materinya juga pas kyk yg di sekolah,bagus banget materi kolah,positif
5,Aplikasi ini sangat bagus untuk saya ingin belajar untuk ulangan atau meringkas materi! :D,aplikasi bagus ajar ulang ringkas materi,positif
