score,cleaned_text
1,bayar gerat bayar bayar masak bayar inimah seru bayar seru
5,bagus motivasi jelas mudah paham
5,aplikasi bagusberkat aplikasi paham mata ajar erti video aplikasi
5,bagus ajar sayang bayar susah orang ajar
5,batu ajar paham materi paham
5,ngebantu banget ajar mudah paham platform
5,lumayan ningkat nilai rankingku rangking kolah kadang kalo masuk kudu update gapa terima kasih
5,aplikasi bagus bangethanya iklan
5,bagus banget pintartapi ngerti paham ngerti thenk
2,bagus saja hubung sukaa gitu aplikasi bagus saja sihh
5,aplikasi bagus banget kualitas baik jelas lengkap bimbel juga sukak
5,aplikasi bagus cuman bayar gratis bayar cuax
5,bagus ajar mudah paham
5,aplikasi manfaat bantu ajar siap kuliah mudah paham erti terima kasih
3,aplikasi bagustapi cewa langgan spam nomer telfon juganggu banget berlanggannanya karna erti cuek bales
5,aplikasi ajar matematika moga pintar aplikasi
1,lampau iklan ngefrezee iklan layar ganggu pandang
5,aplikasi bagus banget pakai aplikasi suka banget tidak ajar langgan susah terima kasih moga juara ason
4,bimbel emang sudah bagus aplikasi ampas bener crash
5,ajar siswa siswi mudah paham bantu anak ajar
5,bantu ajar jelas mudah paham mata ajar
5,aplikasi ajar bagus seru siswa mangat ajar
5,bagus bayar gratis dunia ajar okay
4,bagus mudah paham wifidatanya nyala
5,bagus banget aplikasi ngerti bagus lumayan ngerti
5,aplikasi udhh bagus manfaat lomba mapel bagus
5,seru aplikasi kuis naik level ganti avatar game
5,bantu kolah guna aplikasi nilai bagus
5,bahas mudah erti bantu susah
5,bagus banget ajar bantu bimbing ajar
5,suka banget aplikasi iniidia ngebantu paham materi
5,fitur guna ajar mudah bosan
4,hallo apknya bagustapi nyamohon benah standar layan
2,bantu ajar bayar promosi
5,seru banget sampe pinter banget suka banget pinter cerdas suka maksih teka teki suka teka teki nipu cerdas terima kasih teka teki terima kasih bnget terima kasih bintang karna suka terima kasih terima kasih banget maksih love
5,bantu ajar matematika bahasa indonesia
5,bagus aplikasi mantap ajar mudah erti
5,bagus banget suka ngomong banget langsung seru banget
5,sangat bantu anak paham ajar kolah terima kasih
5,suka banget kmrn kaya download langsung hapal kali thanks minggu besok ulang matematika mauu ajar giat kalo ajar ratuss makasii
5,suka game pintar fiks kasih bintang
5,bantu tode ajar anak rumah
5,ajar lebihh luas paham
5,halo rating bintang aplikasi bantu paham ajar paham ajar kolah tidak fitur sedia banget mudah tingkat paham nang progres capai tidak guru asik mangat ajar tidak mapel informatika
5,rekomen banget ajar ngerja tugas ngerangkum rangkum bagus nyasemoga pake paham materi rank parel
4,kasih bintang ajar bagus video tarik paham mudah akses system buka video lancar bagus
5,aplikasi bantu ajar suka banget fitur video ajar jelas mudah paham cepat erti materi cara aplikasi mudah proses ajar buat nang
3,salah keti kadang jawab nyambung bahas kadang nyeleneh tolong baik sudah bayar mahal kasih layan muas
3,cewa aplikasi work belajarmaterinya bagus tidak bosen iahcuman kurang bayar langgan gitu mikir kali gitu tidak budget langgan hapus aplikasi saja
1,halo pake karena emng bagus pake adek kaya gitu video ajar tiba henti layar tiba putih tiba saja aplikasi niat langgan kaya kaya tidak cewa banget huhu
1,nang customer rvicenya engga banget karena kaya tidak kompeten paket sudah ganti gantung kalo fokus jual karena saya hanya terus minta klaim voucher link paket tidak jawab respon developer nomer kontak sptnya
4,tampil indonesia emas cemas tampil ajar fasilitas bagus online minus susah erti kian trima kasih
5,menjak langgan suka luang ajar seru mudah paham saji konsep kilat rangkum materi bank terima kasih mangat ajar
4,nang ajar ilmu manfaat fitur bantu ajar tolong perhati guna langgan terus chat ulang kali banggan enak panggil mohon maaf nggangu
5,lucu kalau bilang cewa berbayarpadahal bimble emang bantu belajarmasa gratisanemang pikir ajar hobiya indonesia salah negara lemah malas ajar malas usahabimble negri bayar kali
5,bagus banget ajar download video seru bagus ajar
5,bagus ajar sayadan tambah nilai terima kasih moga fitur bagus
5,kasih bintang tolong tidak pake bayar boleh ortunya bayar kayak boleh pakai bayar niat ajar cari duit niat ikhlas ngajar
1,saya tidak kualitas layan aplikasi daftar akun liat aplikasi tiba panggil niat liat
1,tidak daftar nomer hpnya sudah bener
5,bagus suka banget langgan nabung bagus suka goodjob
2,fitur pake dokumen foto jaring stabil
1,napasih gabisa buka masuk tolong bantu
3,bagus cuman fitur suka hilang muncul kadang trus iklan promosi ganggu
5,mudah paham ajar
5,terimaksih berkat aplikasi bisa belajat bisa dapat nilai yang muas nanti bulan november
5,aplikasi bagus bantu sayamakanya kasih bintang moga mbang
5,bagus sayang tiket sesi tutor pelit banget
5,terima kasih aplikasi teman ajar tani universitas impi akuu materi blajar lengkap grafik analis evaluasi ajar tampil monoton tarik suka banget fitur hewan pelihara gold kaya game mangat level lesa dapet nilai ajar seru banget
5,bagus mantap aplikasi ajar
5,bagus ajar seru recommended ajar aplikasi gratis buru download
5,aplikasi bantu serap paham materi jelas mudah erti
5,bagus banget anak pintar
5,materi mudah paham bantu good
5,giat ajar paham ajar seru banget ajar
5,rekomendasi orang asah prestasi bakat
5,suka giat ajar nilai naikwalaupun bayar gratisaku pilih gratis ajar terimah kasih
5,bagus banget bantu paham materi mudah erti thank ruangguruu
5,ajar bahasa inggris
5,daftar akun tombol daftar klik
5,ajaa beda komentar video rangkum ajar real bagus banget notice bimbel sumpah layan customer rvice gercep kali langgan notice alam pribadi kala mohon maklum orang nilai rasa
1,ngelag nauzubillah sinyal lancar foto roboguru sulit banget masuk baik pura gatau
5,ajar bagus aplikasi mudah paham
5,ajar bimbel offline nyaman seru jelas online mudah ngerti recommended langgan
5,seru video ajar interaktif naik level gold hias avatar game
5,saya sungguh ajar nilai bagus terima kampus impi bantu vidio jelas mudah paham
5,aplikasih bagus tingkat mampu
4,aplikasi ajar bagus
1,sudah salah input nyata mana sudah besok parah saya sangkut cape lama
1,masuk ngebug gabisa notifikasi deteksi aplikasi mogok harap tunggu baru baik kirim umpan salur layan langgan aplikasi gimanaa minn
5,thank very much kolah salah ajar tidak lambat ajar which ajar tambah dapat upgrade buat anak kolah mangat ajar turut wajib
3,buka video rubel macet mulu jaring bagus
5,aplikasi bagus tolong tambah jurus astronomi utbk center plis
1,paket pusing beli paket tryout paket tidak buka
5,aplikasi lengkap tidak bosan kalo ajar update
5,bagus banget anak suka nonton clas campur sayang harga mahal dukung anak ikut terima kasih
5,bagus ajar jadi erti materi mata ajar
4,yang materi kolah misal seko ajar materi arimatika sosial ajar materi atau teliti yang soal toloongg butuh evaluasi dalam materi sudah bagus langgan ajar terima kasih
5,terima kasih developer baik bantu hadir aplikasi moga depan anak bangsa akses indonesia emas
5,ajar lumayan bagus kalang ajar maha siswatapi mohon luar finansial
4,bagus bantu paham kolah vidio interaktif bosen program
5,mudah paham anak suka ajar
5,aplikasi abiss interaktif seru tidak boring nyesel tidak coba heboh donwload butt this sangat makinn sukaa belajarr
5,bagus banget aplikasi unik bantu video tarik mudah paham pets imut
5,aplikasi bagusbanyak tode ajar wajib ajar sayaagar generasi emas indonesia
5,aplikasi bantu jelas mudah paham ajar nang
5,aplikasi harus download kali kalian download ajar jadi pinter matematikabahasa indonesiaipas banyak ajar yang bisa ajar rating bintang karna aplikasi manfaat
5,bantu jelas gampang mata ajar mudah terima kasih
5,aplikasi orang tunanetra zaman orang ganggu lihat sudah pegang pakai fitur talkback bawa saya orang ganggu lihat pakai aplikasi takut aplikasi tunanetra dukung hehe
4,suka ajar muncul capek tolong baik kalo sudah rate
5,nyesel bngt napa baru download karaangg harus download aljabar ngak suah otak thanks
5,aplikasi bagus ajar soal
1,stop nelpon nanya harga download chati telp
5,bantu ajar aplikasi ajar
5,bagus aplikasi mudah paham dana fitur gratis
5,tauu tidak milih kalo turut salah aplikasi baik ajar tentu punyaa fitur renn buatt ajar yokk gabung baik nilai akademik janlup gabung guys
5,bagus banget aplikasinyaa vidio singkat mudah mengertiisuka kartun
5,aplikasi bantu ajar banget kalo ajar autodidak nding saja
4,ajar enjoy saja cuman kadang gamau muncul materi gaada opsi kurikulum rdeka revisi masuk gimana contoh kayak gelombang jalan stasioner revisi gaada kurmer faham materi gelombang jalan stasioner ngeh kalo materi lewa games lumayan interaktif nice
5,bagus banget ajar vidio gratis kuis jugaa
5,tidak suara tiap video materi sudah mpet coba hapus cache sampe hapus appnya instal pake akun langgan tidak suara video materi plis butuh banget kolah depanakhir ptember
5,bagus bngt sumpah tidak skolah ajar rumah
3,bagus ribg banget video busa putar token video kadaluarsa sudah unistal instal tapi putar video butuh banget besok terus tambah sudah nonton video sampe habis
3,materi jelas sudah lengkap banget tapi gemes nonton video materi tidak ngeload sudah update tapi saja tidak padahal koneksi lancar banget sosmed cuman banget plis tolong sudah langgan depan mbayarnya ganggu banget ajar ngurung niat buru males duluan
1,gimana daftar trus hari dftar hilang pilih gimana jelas
5,aplikasi guna juara berterimakasih aplikasi
2,daftar akun adakan pilih lengkap
5,bagus menjak gurka ajar
4,materi mudah paham tang event tapi tolong banget ukur aplikasinyabisa pindah kartu kasihan lowend mori sela gaada komplen terima kasih
5,aplikasi bagus bahas mudah paham terima kasih ndali teman ajar misi ngestuck latih topik sudah bahar kuis latih drill kira mohon bantu baik
4,krna aplikasi kalo karna aplikasi lancar saja gada ganggu tolong develop baik aplikasi overall sudah bagus banget nyedia mata ajar jelas interaktif terima kasih
5,bagus banget aplikasi ajar bahas seru tarik
4,barusan masuk aplikasi tolong bantu ajar
5,tampil materi bentuk animasi bosan aplikasi ajar fiturnya game adventure gitu level gold beli item tingkat level trophy rapot bank paham materi tagih mangat ajar tingkat terima kasih
5,bantu proses ajar materi bagus rapi milik latih limpah namun suka user interfacenya bagus atur tema suka tarik lalu materi mode landscape rotate layar arah terkadang ngcharge
3,video ajar bagus tarik mudah paham sayang aplikasi labil kadang cepet kadang padahal sinyal bagus buka nceng buka nauzubillah buka video saja kalau buka lancar saja jadi sudah ngumpul niat ajar susah gilir sudah niat sulit moga appnya tingkat tapi cewa sama
4,bagus pembelajaranya mudah paham ajar kolah best
4,tolong tambah atur ubah kualitas streaming video pilih
4,masuk akun video buka langgan hubung slow respon
5,guna bantu ajar nilai bagus
5,bagus anak muda pintar ajar rekomendasi banget
5,sang nang ajar aplikasi nang
5,aplikasi sangaat bagus gampang paham materi
1,sinyal bagus masuk aplikasi ntok loading screen
5,aplikasi dukung mbang siswasiswi
5,karna aplikasi bantu tingkat aktivitas
5,banget suka banget bljr aplikasi seru asik gampang erti
5,video ajar animasi tidak bosan dengar materi jadi nang kuis point level game rangkum lengkap nang skon beli paket uwuu
3,kali loading geser pilih kuis lesa video
3,tolong kroscek panjang paket panjang saya ganggu masuk chat marketing tawar panjang paket laku bukan nomer anak apalagi istirahat malam chat malam ganggu customer istirahat pikir chat spam
5,saya apresiasi aplikasi ajar guna nilai biologi tambah berkat alangkah baik mbali materi video siswa males buka coba materi video durasi efektif terima kasih
1,padahal pasu sudah saja bayar ngelaknya pake banding bimbel offline beda atuh banget offline bagus bimbing bener kasih modul buku bagus kasih fasilitas interaksi muka blom kalo trip animasi kayak copas textbook tidak konsep relevan salfok rada boring kaku banget bimbing plus coachnya optimal banget
1,sangat ganggu aplikasi layan langgan terusmenerus hubung whatsapp promosi tawar beli aktif rasa tagih utang pinjol ajar tenang tolong harga privasi nyaman guna nding aplikasi belah kaya
5,ajar seru tarik mangat
2,tolong baik
5,aplikasi bagus banget kritik tampil layar utbk artikel fitur kayak tempat gitu nyaman tampil homeversi mobile handphone saja kayak rasa penuh saja gitu ubah jarak pindah nyaman saja tapi suka apknya manfaat banget
5,bagus banget anak giat ajar
5,bagus banget aplikasi manfaat ajar
5,bagus fasilitas bagus
4,renn sangat bantu ajar namun mohon sama kuis mobile desktop karna versi desktop versi mobile tapi tetap debest maju teruss
5,bagus bantu anak ajar
5,aplikasi bantu ajar best pokknyaa
1,tanggung sudah bayar mahal pake balas gimana tolong respon tanggung jawab
5,suport edukasi bagus banget aplikasi video tarik animasi durasi tidak panjang tidak suntuk latihanya kalo abis nonton video paham skon gede trus dapet pulsa gratis laintp sedih sinyal rumah kalo nonton video sabar
5,bagus ajar karna type orang erti ajar
5,bagus banget ajar kadang liat ajar suai kalo liat ajar suai materi kolah siap ningkat skill ajar dapet nilai bagus biar paham materi kolah download aplikasi ngalah temen rebut rank
5,bugtrs update aplikasi tidak
3,dulu awal langgan fitur nama roboguru plus pakai harga beli lumayan beli sesi nanya terus fitur roboguru plus sesi ngabis harga lumayan cukup cewa atur ubah harga turun
5,aplikasi bantu ajar
5,bagus nemu nilai bagus terima kasih
1,halo video susah banget tolong benah
5,bener puas kali dapet bimbel kualitas baik harga super jangkau untuk nilai ubah drastis saran saja kalo materi konsep kilat karena super ngebantu banget murid guru ngada ujianulangan jadi ajar langsung materi bbrp saja paham banget pembahasannyad mangat
3,alam ajar seru makan download layan beda bayar tidak bayar tuju komentar thalita zaliafamily
4,aplikasi bagus mantap bantu ajar utbk bulan bagus bahas soalmaterinya dalam video spesial turun rumus faktor hoff
5,bagus ajar lagi
2,materi tarik namun video dalam subbab terlalu banyak materi ajar bosan variasi jarang dalam ulang variasi ajar fisika terkaang banding mohon singkat video dalam subbab video mohon sama buku paket jadi bahan ulang
5,bagus video rangkum singkat suka ajar terima kasih tidak nyesel kuis tarik banget ajar wkkwk
5,aplikasi bantu anda ajar materi pemrograman langgan apalagi aplikasi canggih interaktif bagus kalo ngajar chat roboguru platform negeri cakup bidang ajar platform sayang pake bahasa inggris moga saja indonesia
5,neng banget pakai aplikasi video ulang kalo tidak paham sampe paham latih tang banget terus raporr mangat rangking temen terima kasih tapi kadang kalo lihat gabaik mata
4,kadang suruh ulang suruh verifikasi mode offline sudah download video aneh lantas kadang drill lengkap ngomong kaya potong tombol submit kadang baik sisa sudah bagus
5,bener suka banget aplikasi bisa banget bantu ajar video animasi tidak bosen terus rangkum materi bener sudah lengkap bangettrus kuis paham materi turut harga murah sedia paket suka banget nama ngada skon bener tidak tanggung
5,dari fitur aplikasi ajar video singkat animasi biar tidak panjang bosen video lesa dapet gold sela lesa kuis materi banyang tidak best
5,aplikasi bagus narikayo buru download manfaat
5,suka banget berkat tahu luas ajar mudah bosen paham cuman banget video ajar mapel binggrisnya cakap bahasa inggris bawah video tulis ucap terjemah paham cepat mahir bahasa inggris terima kasih sukses
5,trimakasih video jelas mudah erti bahas mantap banget cuman kurang waktu ngerja gambar daun gitu nomor tapi gambar geser ngebuat geser cuman saja masalah atau fiturnya
1,daftar pilih kota pilih
1,bagus aplikasi aneh
5,bagus banget video lengkap animasi asik suka konsep kilat banget byak banget video rangkum kalah bnyak thank moga sukses oiya langgan
4,aplikasi bagus erti pakai
5,bagus anak paham
1,ndala lapor ndala balas layan kompetisi jalan
5,aplikasi bagus anak ajar
5,bagus ajar bayar
5,bagus bayar aplikasi bagus
4,aplikasi bantu ajar paham materi tambah developpengembang aplikasi fitur open vidio jenjang langgan hingga fitur avatarsoal buka vidio tentu gantung penggembang aplikasih saran moga ubah
5,aplikasi seru video kalo ajar kayak game
5,bantu proses ajar
5,kali liat aplikasi ajar bagus
3,ajar suruh langgan tidak langganc
5,sangat bantu ajar
2,tidak jalas dapat angka langsung saja tidak jelas dapat
5,sangat bantu ajar
5,bagus bantu ajar
4,wahh mayan akses ajar
5,kalo fitur sama kayak fitur utbk biar enak saja
5,enak bagu paket mahal
5,sumpah yakkruangguru bantu bgttkykaku suka ajar materi ngertiiapalagi ituudi kolah tidak ngertipas liat langsung ngerti bgttugm inimahmeskipun bbrp materi langgan tapi woth banget demiwislist langgan ruanggurusukakk bgttailoveyou cipta ruangguru berkah bgtaku sayang
5,aplikasi bagus banget berkat aplikasi bisa ajar dengan mudah
5,paket internetnya vidio sudah download akses offline
5,bagus pintar terima kasih
5,gilaa aplikasi bagus banget nilai teruss bulann
5,menjak ajar daring paham ajar berkat bantu paham ajar jelas video animasi bosan akan mapel prakarya ulas saran terima kasih
5,aplikasi bagus banget nilai jangkau
4,bagus banget jelas
5,moga mudah proses belajarterimakasih
2,aplikasi bagus buka error ngerja latih topik lihat bahas error habis sudah daftar pake google masuk suruh ngisi daftar nomor daftar
4,bantu ajar
3,lapor bagus sistem ajar class online cuman kadang ngelagerror tidak buka tidak ngirim tugas suka delay jdinya tidak karna suka error mulu tolong baik terima kasih mohon maaf
5,turut aplikasi bener dapet bintang ajar asyik video seru gampang erti tidak bosen latih banget ngetes paham plus fitur bingung susah dengan fitur kece pede temen ajar pilih
